year,state,crop,season,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
2007,Haryana,Sesame,Kharif,2741.0,1000.0,0.3648303538854432
2007,Haryana,Sunflower,Rabi,8655.0,16200.0,1.8717504332755632
2007,Haryana,Tur,Kharif,28779.0,30600.0,1.06327530490983
2007,Haryana,Urad,Kharif,3511.0,1400.0,0.3987467957846767
2007,Haryana,Wheat,Rabi,2460680.0,10232000.0,4.158200172310093
2007,Maharashtra,Bajra,Kharif,1283000.0,1126900.0,0.878332034294622
2007,Maharashtra,Cotton,Kharif,3195400.0,1193010.2040816327,0.37335238282582245
2007,Maharashtra,Gram,Rabi,1353300.0,1115700.0,0.8244291731323432
2007,Maharashtra,Groundnut,Kharif,329300.0,365900.0,1.1111448527178864
2007,Maharashtra,Jowar,Kharif,1270600.0,1883800.0,1.4826066425310878
2007,Maharashtra,Jowar,Rabi,2876900.0,2119400.0,0.7366957488963816
2007,Maharashtra,Maize,Kharif,571100.0,1545200.0,2.705655752057433
2007,Maharashtra,Maize,Rabi,86700.0,223000.0,2.572087658592849
2007,Maharashtra,Moong,Kharif,660800.0,367100.0,0.5555387409200968
2007,Maharashtra,Paddy,Kharif,1535300.0,2912800.0,1.8972187846023576
2007,Maharashtra,Ragi,Kharif,128300.0,123500.0,0.9625876851130164
2007,Maharashtra,Rapeseed & Mustard,Rabi,9200.0,4300.0,0.4673913043478261
2007,Maharashtra,Safflower,Rabi,230900.0,153600.0,0.6652230402771763
2007,Maharashtra,Sesame,Kharif,88700.0,28600.0,0.322435174746336
2007,Maharashtra,Sesame,Rabi,3700.0,1300.0,0.3513513513513513
2007,Maharashtra,Soybean,Kharif,2663600.0,3976200.0,1.4927917104670372
2007,Maharashtra,Sunflower,Kharif,111500.0,64600.0,0.579372197309417
2007,Maharashtra,Sunflower,Rabi,176400.0,130200.0,0.7380952380952381
2007,Maharashtra,Tur,Kharif,1159100.0,1075700.0,0.9280476231558968
2007,Maharashtra,Urad,Kharif,563800.0,320200.0,0.5679318907413976
2007,Maharashtra,Wheat,Rabi,1252800.0,2371100.0,1.892640485312899
2007,Punjab,Bajra,Kharif,4000.0,4000.0,1.0
2007,Punjab,Barley,Rabi,16000.0,57000.0,3.5625
2007,Punjab,Cotton,Kharif,604000.0,400510.20408163266,0.6630963643735641
2007,Punjab,Gram,Rabi,2700.0,2800.0,1.037037037037037
2007,Punjab,Groundnut,Kharif,3100.0,2700.0,0.8709677419354839
2007,Punjab,Jowar,Kharif,100.0,100.0,1.0
2007,Punjab,Maize,Kharif,153000.0,521000.0,3.4052287581699345
2007,Punjab,Masoor,Rabi,1200.0,600.0,0.5
2007,Punjab,Moong,Kharif,11700.0,8400.0,0.717948717948718
2007,Punjab,Paddy,Kharif,2610000.0,10489000.0,4.018773946360153
2007,Punjab,Rapeseed & Mustard,Rabi,28000.0,33000.0,1.1785714285714286
2007,Punjab,Sesame,Kharif,8200.0,2700.0,0.3292682926829268
2007,Punjab,Tur,Kharif,6000.0,5400.0,0.9
2007,Punjab,Urad,Kharif,3500.0,1600.0,0.4571428571428571
2007,Punjab,Wheat,Rabi,3488000.0,15720000.0,4.506880733944954
2007,Uttar Pradesh,Bajra,Kharif,876979.0,1336355.0,1.5238164197774404
2007,Uttar Pradesh,Barley,Rabi,155298.0,327908.0,2.1114760009787634
2007,Uttar Pradesh,Cotton,Kharif,4260.0,197.61904761904762,0.046389447797898505
2007,Uttar Pradesh,Gram,Rabi,504777.0,376040.0,0.7449626270610586
2007,Uttar Pradesh,Groundnut,Kharif,98981.0,59174.0,0.5978319071336923
2007,Uttar Pradesh,Jowar,Kharif,211640.0,172805.0,0.8165044415044415
2007,Uttar Pradesh,Maize,Kharif,812088.0,1167245.0,1.437338071736068
2007,Uttar Pradesh,Maize,Rabi,3627.0,10185.0,2.8081058726220016
2007,Uttar Pradesh,Masoor,Rabi,507235.0,367669.0,0.7248494287657594
2007,Uttar Pradesh,Moong,Kharif,31082.0,6183.0,0.1989254230744482
2007,Uttar Pradesh,Paddy,Kharif,5690539.0,11731754.0,2.061624390940823
2007,Uttar Pradesh,Rapeseed & Mustard,Rabi,627431.0,726256.0,1.1575073593749752
2007,Uttar Pradesh,Sesame,Kharif,152905.0,23491.0,0.1536313397207416
2007,Uttar Pradesh,Soybean,Kharif,4834.0,3239.0,0.670045510964005
2007,Uttar Pradesh,Tur,Kharif,368230.0,327918.0,0.8905249436493496
2007,Uttar Pradesh,Urad,Kharif,342102.0,150004.0,0.4384774131691717
2007,Uttar Pradesh,Wheat,Rabi,9114880.0,25679089.0,2.8172712092753827
2008,Gujarat,Bajra,Kharif,528700.0,535200.0,1.01229430679024
2008,Gujarat,Cotton,Kharif,2353600.0,1192823.1292517006,0.506807923713333
2008,Gujarat,Gram,Rabi,175400.0,176800.0,1.007981755986317
2008,Gujarat,Groundnut,Kharif,1795400.0,2456000.0,1.367940291856968
2008,Gujarat,Jowar,Kharif,124200.0,165300.0,1.3309178743961352
2008,Gujarat,Jowar,Rabi,50000.0,42900.0,0.858
2008,Gujarat,Maize,Kharif,418900.0,602600.0,1.4385294819766057
2008,Gujarat,Moong,Kharif,162000.0,70100.0,0.4327160493827161
2008,Gujarat,Paddy,Kharif,722100.0,1225500.0,1.6971333610303283
2008,Gujarat,Ragi,Kharif,19400.0,20000.0,1.0309278350515465
2008,Gujarat,Rapeseed & Mustard,Rabi,293900.0,334300.0,1.1374617216740388
2008,Gujarat,Sesame,Kharif,238500.0,84900.0,0.3559748427672956
2008,Gujarat,Tur,Kharif,266100.0,262700.0,0.9872228485531755
2008,Gujarat,Urad,Kharif,95500.0,64100.0,0.6712041884816754
2008,Gujarat,Wheat,Rabi,1091400.0,2592600.0,2.375481033534909
2008,Haryana,Bajra,Kharif,612934.0,1087000.0,1.7734372705707302
2008,Haryana,Barley,Rabi,53028.0,185000.0,3.488722938824772
2008,Haryana,Cotton,Kharif,456086.0,316666.6666666666,0.6943134993546539
2008,Haryana,Gram,Rabi,123563.0,129000.0,1.0440018452125637
2008,Haryana,Groundnut,Kharif,1544.0,1400.0,0.9067357512953368
2008,Haryana,Jowar,Kharif,86595.0,44000.0,0.508112477625729
2008,Haryana,Maize,Kharif,11769.0,25200.0,2.1412184552638287
2008,Haryana,Masoor,Rabi,4858.0,3600.0,0.7410456978180321
2008,Haryana,Moong,Kharif,14380.0,6500.0,0.4520166898470097
2008,Haryana,Paddy,Kharif,1211149.0,3299000.0,2.7238597398008007
2008,Haryana,Rapeseed & Mustard,Rabi,513982.0,894900.0,1.7411115564358286
2008,Haryana,Sesame,Kharif,3644.0,1300.0,0.3567508232711306
2008,Haryana,Sunflower,Rabi,6544.0,11800.0,1.8031784841075795
